id,user_id,name,category,category_id,date,amount
682,20210106,Adjustment,"[""Transfer"", ""Credit""]",21005000,6/8/20,-34.19
683,20210106,Adjustment,"[""Transfer"", ""Credit""]",21005000,6/8/20,-29.43
684,20210106,Adjustment,"[""Transfer"", ""Credit""]",21005000,6/8/20,-19.73
685,20210106,Adjustment,"[""Transfer"", ""Credit""]",21005000,6/8/20,-12.39
686,20210106,Adjustment,"[""Transfer"", ""Credit""]",21005000,6/8/20,-8.87
687,20210106,Adjustment,"[""Transfer"", ""Payroll""]",21009000,6/8/20,-0.99
688,20210106,Visa Money Transfer,"[""Transfer"", ""Credit""]",21005000,6/8/20,-126.43
689,20210106,McDonald's,"[""Food and Drink"", ""Restaurants"", ""Fast Food""]",13005032,6/6/20,5.36
690,20210106,Speedway,"[""Travel"", ""Gas Stations""]",22009000,6/5/20,19.77
691,20210106,Visa Money Transfer,"[""Transfer"", ""Credit""]",21005000,6/5/20,-5
692,20210106,CVS,"[""Shops"", ""Pharmacies""]",19043000,6/4/20,1.68
693,20210106,Dollar General,"[""Shops"", ""Discount Stores""]",19020000,6/4/20,6.4
694,20210106,Andy's Hair & Beauty Su,"[""Shops"", ""Beauty Products""]",19006000,6/3/20,2.13
695,20210106,Andy's Hair & Beauty Su,"[""Shops"", ""Beauty Products""]",19006000,6/3/20,10.8
696,20210106,Br5*Auto,"[""Service"", ""Automotive"", ""Maintenance and Repair""]",18006003,6/3/20,1
697,20210106,Greenlight,"[""Service"", ""Financial""]",18020000,6/3/20,-14.09
698,20210106,Greenlight,"[""Service"", ""Financial""]",18020000,6/3/20,-5.91
699,20210106,Food Plus,"[""Food and Drink"", ""Restaurants""]",13005000,6/1/20,10.05
700,20210106,Oh Bureau Motor Vehicle,"[""Community"", ""Government Departments and Agencies""]",12009000,5/31/20,24.18
701,20210106,Subway,"[""Food and Drink"", ""Restaurants""]",13005000,5/31/20,24.96
702,20210106,Cash App*Eay Treet,"[""Service""]",18000000,5/30/20,500
703,20210106,Order.Wish.com,"[""Shops""]",19000000,5/30/20,-29.85
704,20210106,Order.Wish.com,"[""Shops""]",19000000,5/30/20,-2.32
705,20210106,Moneylion Instacash,"[""Service"", ""Financial"", ""Loans and Mortgages""]",18020004,5/29/20,209.95
706,20210106,iTunes,"[""Shops"", ""Music, Video and DVD""]",19036000,5/29/20,12.99
707,20210106,Primerica,"[""Service"", ""Insurance""]",18030000,5/28/20,61.85
708,20210106,Walgreens,"[""Shops"", ""Pharmacies""]",19043000,5/28/20,3.24
709,20210106,Amazon.com svcs,"[""Shops"", ""Digital Purchase""]",19019000,5/27/20,-612.45
710,20210106,Greenlight,"[""Service"", ""Financial""]",18020000,5/27/20,5.91
711,20210106,Transfer from Chime Savings,"[""Transfer"", ""Credit""]",21005000,5/27/20,-61.24
712,20210106,Transfer to Chime Savings,"[""Transfer"", ""Debit""]",21006000,5/27/20,61.24
713,20210106,Visa Money Transfer,"[""Transfer"", ""Credit""]",21005000,5/27/20,-50
714,20210106,Visa Money Transfer,"[""Transfer"", ""Credit""]",21005000,5/27/20,-50
715,20210106,Visa Money Transfer,"[""Transfer"", ""Credit""]",21005000,5/27/20,-50
716,20210106,Visa Money Transfer,"[""Transfer"", ""Credit""]",21005000,5/27/20,-35
717,20210106,AT&T,"[""Service"", ""Telecommunication Services""]",18063000,5/27/20,48.83
718,20210106,Apple.com/Bill,"[""Shops"", ""Digital Purchase""]",19019000,5/27/20,8.63
719,20210106,Greenlight,"[""Service"", ""Financial""]",18020000,5/27/20,14.09
720,20210106,Transfer from Chime Spending,"[""Transfer"", ""Credit""]",21005000,5/27/20,-61.24
721,20210106,Transfer to Chime Spending,"[""Transfer"", ""Debit""]",21006000,5/27/20,61.24
722,20210106,Apple cash,"[""Shops"", ""Computers and Electronics""]",19013000,5/26/20,-20
723,20210106,Dollar Ge,"[""Shops"", ""Discount Stores""]",19020000,5/25/20,29.16
724,20210106,Old Navy,"[""Shops"", ""Clothing and Accessories""]",19012000,5/25/20,60.32
725,20210106,5 Cuyahoga Markets,"[""Food and Drink""]",13000000,5/24/20,2.25
726,20210106,American Food Market,"[""Shops"", ""Supermarkets and Groceries""]",19047000,5/24/20,11.91
727,20210106,Dollar Tree,"[""Shops"", ""Discount Stores""]",19020000,5/24/20,11
728,20210106,Speedway,"[""Travel"", ""Gas Stations""]",22009000,5/24/20,31.04
729,20210106,Apple.com/Bill,"[""Shops"", ""Digital Purchase""]",19019000,5/23/20,14.99
730,20210106,Lyft,"[""Travel"", ""Taxi""]",22016000,5/23/20,14.07
731,20210106,Visa Money Transfer,"[""Transfer"", ""Credit""]",21005000,5/23/20,-25
732,20210106,Apple.com/Bill,"[""Shops"", ""Digital Purchase""]",19019000,5/22/20,10.79
733,20210106,Apple.com/Bill,"[""Shops"", ""Digital Purchase""]",19019000,5/22/20,17.27
734,20210106,CVS,"[""Shops"", ""Pharmacies""]",19043000,5/22/20,11.52
735,20210106,Chipotle Mexican Grill,"[""Food and Drink"", ""Restaurants"", ""Fast Food""]",13005032,5/22/20,32.06
736,20210106,Self lender inc,"[""Service"", ""Financial"", ""Loans and Mortgages""]",18020004,5/22/20,-136.59
737,20210106,"Direct Debit: Credit Strong, Cstr Paymt, 130012","[""Payment""]",16000000,5/20/20,8.95
738,20210106,Transfer to Willie N.,"[""Transfer"", ""Debit""]",21006000,5/20/20,2
739,20210106,Transfer to Willie N.,"[""Transfer"", ""Debit""]",21006000,5/20/20,10
740,20210106,Visa Money Transfer,"[""Transfer"", ""Credit""]",21005000,5/20/20,-149.68
741,20210106,Apple.com/Bill,"[""Shops"", ""Digital Purchase""]",19019000,5/19/20,6.47
742,20210106,Cash App*Manny All,"[""Service""]",18000000,5/19/20,381.1
743,20210106,Mags4 All,"[""Shops""]",19000000,5/19/20,19.73
744,20210106,Square inc,"[""Transfer"", ""Third Party"", ""Square""]",21010003,5/19/20,-8.95
745,20210106,5 Cuyahoga Markets,"[""Food and Drink""]",13000000,5/18/20,1
746,20210106,Byzantinekc.org,"[""Community"", ""Organizations and Associations"", ""Charities and Non-Profits""]",12015003,5/18/20,0.99
747,20210106,Transfer from Chime Savings,"[""Transfer"", ""Credit""]",21005000,5/18/20,-115.74
748,20210106,Transfer to Chime Spending,"[""Transfer"", ""Debit""]",21006000,5/18/20,115.74
749,20210106,Visa Money Transfer,"[""Transfer"", ""Credit""]",21005000,5/18/20,-50
750,20210106,Visa Money Transfer,"[""Transfer"", ""Credit""]",21005000,5/18/20,-50
751,20210106,Visa Money Transfer,"[""Transfer"", ""Credit""]",21005000,5/18/20,-50
752,20210106,Visa Money Transfer,"[""Transfer"", ""Credit""]",21005000,5/18/20,-10
753,20210106,Wendy's,"[""Food and Drink"", ""Restaurants"", ""Fast Food""]",13005032,5/18/20,8.87
754,20210106,Hulu,"[""Service"", ""Subscription""]",18061000,5/17/20,6.46
755,20210106,Order.Wish.com,"[""Shops""]",19000000,5/16/20,32.17
756,20210106,Big Lots,"[""Shops"", ""Furniture and Home Decor""]",19027000,5/15/20,12.39
757,20210106,CVS,"[""Shops"", ""Pharmacies""]",19043000,5/15/20,34.19
758,20210106,Cash App*Eay Treet,"[""Service""]",18000000,5/15/20,600
759,20210106,Chipotle Mexican Grill,"[""Food and Drink"", ""Restaurants"", ""Fast Food""]",13005032,5/15/20,34.7
