Player ID,Numer of times made above 95th % in Total Points,Numer of times made above 95th % in PPV,Average of value,Value<50,50<=Value<=100,100<Value
92,6,6,44.27027027,6,#N/A,#N/A
97,6,6,44.43243243,6,#N/A,#N/A
38,5,6,55,#N/A,6,#N/A
460,6,5,76.05555556,#N/A,5,#N/A
396,4,5,49.91666667,5,#N/A,#N/A
465,5,5,52.47222222,#N/A,5,#N/A
415,4,5,53.97222222,#N/A,5,#N/A
340,5,5,53.55555556,#N/A,5,#N/A
403,6,5,50.19444444,#N/A,5,#N/A
344,9,5,84.75,#N/A,5,#N/A
423,6,5,45.22222222,5,#N/A,#N/A
358,4,5,43.58333333,5,#N/A,#N/A
389,6,5,69.13888889,#N/A,5,#N/A
500,5,5,54.13888889,#N/A,5,#N/A
445,6,5,45.02777778,5,#N/A,#N/A
452,4,5,43.33333333,5,#N/A,#N/A
421,5,5,58.33333333,#N/A,5,#N/A
301,5,5,48.80555556,5,#N/A,#N/A
262,7,5,50.19444444,#N/A,5,#N/A
321,5,5,58.11111111,#N/A,5,#N/A
101,6,5,54.27777778,#N/A,5,#N/A
280,5,5,45.19444444,5,#N/A,#N/A
105,8,5,58.83333333,#N/A,5,#N/A
309,5,5,43.94444444,5,#N/A,#N/A
123,7,5,55.52777778,#N/A,5,#N/A
218,7,5,78.28947368,#N/A,5,#N/A
128,4,5,41.80555556,5,#N/A,#N/A
278,6,5,66.61111111,#N/A,5,#N/A
150,9,5,80.38888889,#N/A,5,#N/A
297,6,5,47.55555556,5,#N/A,#N/A
162,8,5,51.58333333,#N/A,5,#N/A
193,5,5,62.27777778,#N/A,5,#N/A
22,4,5,42.38888889,5,#N/A,#N/A
484,4,5,44.05405405,5,#N/A,#N/A
562,7,5,44.97058824,5,#N/A,#N/A
412,5,5,44.22857143,5,#N/A,#N/A
392,5,5,67.08571429,#N/A,5,#N/A
549,5,5,44.11764706,5,#N/A,#N/A
470,3,5,40.63888889,5,#N/A,#N/A
239,6,5,48.82352941,5,#N/A,#N/A
313,6,5,54.63636364,#N/A,5,#N/A
123,7,5,50.70588235,#N/A,5,#N/A
198,5,5,53.83333333,#N/A,5,#N/A
116,6,5,47.61764706,5,#N/A,#N/A
338,5,5,51.72222222,#N/A,5,#N/A
66,4,5,43.88888889,5,#N/A,#N/A
16,5,5,44.14285714,5,#N/A,#N/A
61,3,5,42.80555556,5,#N/A,#N/A
344,4,5,52.52777778,#N/A,5,#N/A
166,7,5,78.58333333,#N/A,5,#N/A
110,5,5,54.11764706,#N/A,5,#N/A
291,6,5,53.48484848,#N/A,5,#N/A
69,5,5,58.13888889,#N/A,5,#N/A
150,9,5,68.36111111,#N/A,5,#N/A
228,5,5,64.11764706,#N/A,5,#N/A
89,4,5,53.27027027,#N/A,5,#N/A
231,6,5,71.41176471,#N/A,5,#N/A
144,3,5,44.08333333,5,#N/A,#N/A
427,3,4,43.47368421,4,#N/A,#N/A
359,4,4,41.91666667,4,#N/A,#N/A
516,4,4,48.19444444,4,#N/A,#N/A
443,4,4,54.26315789,#N/A,4,#N/A
493,5,4,44.16666667,4,#N/A,#N/A
