162	Office Space	1999	USA	comedy		
163	The Butterfly Effect	2004	"USA,Canada"	thriller		
164	The Core	2003	"USA,Germany,Canada"	action	adventure	thriller
165	The Fifth Element	1997	France	action	adventure	
166	The Final Cut	2004	"USA,Canada,Germany"	action	thriller	
167	Hulk	2003	USA	action	action	fantasy
168	The Incredibles	2004	USA	action	adventure	animation
169	The League of Extraordinary Gentlemen	2003	"USA,Germany,Czech Republic,UK"	action	adventure	fantasy
170	Diarios de motocicleta	2004	"Argentina,USA,Chile,Peru,Brazil,UK,Germany,France"	adventure	biography	drama
171	The Untouchables	1987	USA	crime	drama	thriller
172	Lara Croft Tomb Raider: The Cradle of Life	2003	"USA,Germany,Japan,UK"	action	adventure	fantasy
173	Lara Croft: Tomb Raider	2001	"USA,UK,Japan,Germany"	action	adventure	fantasy
174	The Rundown	2003	USA	action	adventure	comedy
175	Lost in Translation	2003	"USA,Japan"	drama		
176	The Forgotten	2004	USA	drama	horror	mystery
177	The Broken Hearts Club: A Romantic Comedy	2000	USA	comedy	drama	romance
178	Forrest Gump	1994	USA	drama	romance	
179	Batoru rowaiaru	2000	Japan	action	drama	thriller
180	Monster's Ball	2001	USA	drama	romance	
182	The Gift	2000	USA	drama	mystery	thriller
183	Bang Bang You're Dead	2002	"USA,Canada"	crime	drama	thriller
184	Kaze no tani no Naushika	1984	Japan	adventure	animation	fantasy
185	After the Sunset	2004	USA	action	comedy	crime
186	Garden State	2004	USA	comedy	drama	romance
188	Love & Pop	1998	Japan	drama		
189	Head in the Clouds	2004	"UK,Canada"	drama	romance	war
190	Heat	1995	USA	action	crime	drama
191	Wayne's World	1992	USA	comedy	music	
192	GoldenEye	1995	"UK,USA"	action	adventure	thriller
193	The Big Lebowski	1998	"USA,UK"	comedy	crime	
194	Rain Man	1988	USA	drama		
195	Red Dragon	2002	"USA,Germany"	crime	drama	thriller
196	The Truman Show	1998	USA	drama		
197	Akira	1988	Japan	action	animation	
198	The SpongeBob SquarePants Movie	2004	USA	adventure	animation	comedy
199	Ong-bak	2003	Thailand	action		
202	Eraserhead	1977	USA	fantasy	horror	
203	Hauru no ugoku shiro	2004	Japan	adventure	animation	family
205	Starship Troopers	1997	USA	action		
206	The Emperor's New Groove	2000	USA	adventure	animation	comedy
208	Following	1998	UK	mystery	thriller	
210	War Photographer	2001	Switzerland	documentary	war	
211	Indiana Jones and the Last Crusade	1989	USA	action	adventure	action
212	Hot Shots! Part Deux	1993	USA	action	comedy	
216	Pirates of the Caribbean: The Curse of the Black Pearl	2003	USA	action	adventure	fantasy
217	Funny Games	1997	Austria	thriller		
218	Constantine	2005	"USA,Germany"	drama	fantasy	horror
219	Assault on Precinct 13	2005	"USA,France"	action	crime	drama
220	Kids	1995	USA	drama		
221	Hung wan yat tew loong	1998	Hong Kong	comedy	drama	romance
222	Gin gwai 2	2004	"Hong Kong,Singapore"	drama	fantasy	horror
223	50 First Dates	2004	USA	comedy	romance	
224	Memento	2000	USA	mystery	thriller	
226	Predator	1987	USA	action	horror	
227	Ocean's Twelve	2004	USA	crime	thriller	
228	Collateral	2004	USA	crime	drama	thriller
229	I Heart Huckabees	2004	"USA,UK,Germany"	comedy		
230	The Bonfire of the Vanities	1990	USA	comedy	drama	
232	Red Planet	2000	"USA,Australia"	action	thriller	
233	Below	2002	USA	horror	mystery	thriller
234	Dutch	1991	USA	comedy	drama	
235	F/X2	1991	USA	action	thriller	
236	The Lord of the Rings: The Fellowship of the Ring	2001	"New Zealand,USA"	adventure	drama	fantasy
