LogID,NumPages,WikiAccesses,NumWords
1,5,0,0
10,15,0,0
100,156,2,0
1000,100,0,0
1001,140,0,0
1002,126,0,0
1003,92,0,0
1004,96,0,0
1005,150,0,0
1006,70,0,0
1007,266,1,0
1008,156,0,0
1009,146,0,0
101,75,0,0
1010,104,2,0
1011,123,0,0
1012,90,0,0
102,158,0,0
103,121,0,0
104,96,0,0
105,158,2,0
106,67,0,0
1063,9,0,0
1064,134,0,0
1065,125,0,0
1066,10,0,0
1067,16,0,0
1068,14,0,0
1069,3,0,0
107,57,1,0
1070,8,0,0
1071,13,0,0
1072,114,0,0
1073,106,0,0
1075,1,0,0
1076,8,0,0
1077,100,0,0
1079,2,0,0
108,66,6,0
1080,98,0,0
1081,102,0,0
1082,82,0,0
1083,95,1,0
1084,33,0,0
1085,209,4,0
1087,91,0,0
1088,98,0,0
1089,137,0,0
109,72,0,0
1090,128,0,0
1091,85,0,0
1092,2,0,0
1093,70,0,0
1096,36,0,0
1099,105,0,0
11,4,0,0
110,83,0,0
1100,5,0,0
1103,90,0,0
1106,80,0,0
1109,6,0,0
111,79,0,0
1110,46,2,0
1112,1,0,0
1113,86,0,0
1114,2,0,0
1115,9,0,0
1116,8,0,0
1117,2,0,0
1118,185,0,0
1119,2,0,0
112,145,4,0
1120,4,0,0
1122,118,0,0
1123,123,0,0
1124,2,0,0
1126,72,0,0
1127,3,0,0
1129,9,0,0
113,164,0,0
1130,12,0,0
1132,3,0,0
1137,2,0,0
114,86,10,0
1140,2,0,0
1141,111,0,0
1142,10,0,0
1143,4,0,0
1144,186,0,0
1145,5,0,0
1146,19,0,0
1147,28,0,0
1148,19,0,0
115,70,0,0
1150,6,0,0
1151,25,0,0
1153,142,0,0
1154,48,0,0
1155,31,0,0
1156,30,0,0
1157,28,0,0
1158,18,0,0
1159,28,0,0
116,77,0,0
1160,31,0,0
1161,2,0,0
1163,19,0,0
1164,15,0,0
1165,1,0,0
1166,18,0,0
1167,19,0,0
1168,32,0,0
1169,18,0,0
117,43,3,0
1170,164,0,0
1171,26,0,0
1172,43,0,0
1174,36,0,0
1175,23,0,0
1176,37,3,0
1177,30,1,0
1178,30,0,0
1179,35,0,0
118,155,0,0
1180,32,0,0
1181,18,0,0
1182,35,0,0
1183,32,0,0
1184,32,0,0
1185,45,2,0
1186,58,0,0
1187,25,0,0
1189,24,0,0
119,91,0,0
1190,27,0,0
1192,22,0,0
1194,14,0,0
1195,1,0,0
1196,53,3,0
1198,66,2,0
1199,77,0,0
12,24,0,0
120,3,0,0
1200,5,4,0
1201,137,3,0
1202,53,0,0
1203,60,2,0
1204,101,2,0
1205,118,3,0
1206,168,3,0
1207,107,1,0
1208,37,3,0
1209,361,8,0
1210,312,13,0
1211,52,0,0
1212,160,5,0
1213,41,1,0
1214,291,2,0
1215,107,5,0
1216,17,2,0
1217,128,0,0
1218,38,0,0
1219,130,0,0
122,131,0,0
1220,71,1,0
1221,143,0,0
1222,65,1,0
1223,71,5,0
1224,70,3,0
1226,117,6,0
1227,20,3,0
1228,187,12,0
1229,47,0,0
123,100,0,0
1230,74,2,0
1231,35,6,0
1232,109,3,0
1233,91,0,0
1234,149,0,0
1235,22,0,0
1236,95,0,0
1237,169,2,0
1238,130,0,0
1239,28,0,0
124,45,3,0
1240,146,2,0
1242,87,5,0
1243,211,0,0
1244,95,0,0
1246,25,0,0
1247,2,0,0
1248,75,2,0
1249,4,0,0
125,98,3,0
1250,1,0,0
1251,32,0,0
1252,78,1,0
1253,20,0,0
1254,57,2,0
1255,17,0,0
1256,157,1,0
1257,195,0,0
1258,122,0,0
1259,95,0,0
126,130,0,0
1260,133,0,0
1261,105,0,0
1262,98,0,0
1263,57,0,0
1264,97,0,0
1265,205,0,0
1266,132,0,0
1267,116,0,0
1268,105,0,0
1269,152,0,0
127,1,0,0
1270,130,0,0
1271,162,0,0
1272,138,0,0
1273,79,0,0
1274,103,0,0
1275,51,0,0
1276,87,0,0
1277,60,0,0
1278,143,0,0
1279,31,0,0
128,51,0,0
1280,1,0,0
1281,119,0,0
1284,128,0,0
1286,91,0,0
1289,105,0,0
129,89,0,0
1291,124,0,0
1292,171,0,0
1294,168,0,0
1295,179,0,0
1296,141,0,0
1298,121,0,0
1299,67,0,0
13,41,0,0
130,59,1,0
1300,319,0,0
1301,100,0,0
1302,115,0,0
1303,129,0,0
1304,79,0,0
1306,2,0,0
1307,86,0,0
1308,38,0,0
131,105,0,0
1310,144,0,0
1311,130,0,0
1312,87,0,0
1314,133,0,0
1315,63,0,0
1316,132,0,0
1317,26,0,0
1318,3,0,0
1319,119,0,0
132,158,1,0
1320,90,0,0
1321,24,0,0
1322,140,0,0
1323,88,0,0
1324,72,0,0
1326,112,0,0
1327,62,0,0
1328,85,0,0
1329,108,0,0
133,276,0,0
1330,4,0,0
1331,82,0,0
1332,85,0,0
1333,113,0,0
1334,2,0,0
1335,80,0,0
1336,3,0,0
1337,22,0,0
1339,42,0,0
134,153,0,0
1340,19,1,0
1341,6,0,0
1342,3,0,0
1343,87,0,0
1344,151,0,0
1345,113,0,0
1346,91,0,0
1347,98,0,0
1348,126,1,0
1349,2,0,0
135,364,0,0
1350,3,0,0
1354,5,0,0
1356,3,0,0
1357,258,0,0
136,268,0,0
1360,6,0,0
1363,1,0,0
1364,100,2,0
1365,1,0,0
1366,4,0,0
1367,12,0,0
1368,2,0,0
1369,4,0,0
1370,13,0,0
1371,8,0,0
1372,32,0,0
1373,7,0,0
1374,4,0,0
1375,28,0,0
1377,40,0,0
1378,17,0,0
1379,16,0,0
1380,9,0,0
1381,20,0,0
1382,17,0,0
1383,34,6,0
1384,15,0,0
1385,30,0,0
1386,9,0,0
1387,42,0,0
1388,16,0,0
1389,94,1,0
139,122,2,0
1390,1,0,0
1392,28,0,0
1393,31,0,0
1394,133,0,0
1395,11,0,0
1396,39,0,0
1397,14,1,0
1398,18,0,0
1399,39,0,0
14,40,0,0
140,65,2,0
1400,20,0,0
1401,29,0,0
1402,20,0,0
1403,10,1,0
1404,12,0,0
1405,39,0,0
1406,24,0,0
1407,3,0,0
1408,40,0,0
1409,2,0,0
1410,32,0,0
1411,41,0,0
1412,8,1,0
1413,10,0,0
1414,13,0,0
1415,155,0,0
1416,397,0,0
